"year","road_type","road_nm","volume"
2018,"시계","금하로(광명시계)",34356
2018,"시계","오정로(부천시계)",26125
2018,"시계","화곡로(화곡로입구)",38481
2018,"시계","경인고속국도(신월IC)",171061
2018,"시계","경인로(유한공고)",37643
2018,"시계","신정로(작동터널)",48451
2018,"시계","김포대로(개화교)",49361
2018,"시계","올림픽대로(개화IC)",170904
2018,"시계","통일로(고양시계)",53035
2018,"시계","서오릉로(고양시계)",37883
2018,"시계","수색로(고양시계)",44692
2018,"시계","강변북로(난지한강공원)",252541
2018,"시계","강변북로(구리시계)",141627
2019,"시계","도봉로(도봉산역)",54493
2019,"시계","동일로(의정부IC)",82759
2019,"시계","아차산로(워커힐)",30648
2019,"시계","망우로(망우리공원)",32609
2019,"시계","경춘북로(중랑경찰서)",51323
2019,"시계","화랑로(조선왕릉)",49535
2019,"시계","북부간선도로(신내IC)",124234
2019,"시계","서하남로(서하남IC)",105304
2019,"시계","천호대로(상일IC)",87323
2019,"시계","올림픽대로(강일IC)",201631
2019,"시계","경부고속도로(양재IC)",196830
2019,"시계","송파대로(복정역)",63140
2019,"시계","밤고개로(세곡동사거리)",44683
2019,"시계","분당수서로(성남시계)",111140
2019,"시계","과천대로(남태령역)",63902
2019,"시계","양재대로(양재IC)",128590
2019,"시계","반포대로(우면산터널)",69618
2019,"시계","시흥대로(석수역)",88751
2019,"시계","금오로(광명시계)",11561
2019,"시계","오리로(광명시계)",30083
2019,"시계","개봉로(개봉교)",28242
2019,"시계","광명대교(광명시계)",33247
2019,"시계","철산교(광명시계)",45454
2019,"시계","금천교(광명시계)",60114
2019,"시계","금하로(광명시계)",34147
2019,"시계","오정로(부천시계)",26221
2019,"시계","화곡로(화곡로입구)",38013
2019,"시계","경인고속국도(신월IC)",174995
2019,"시계","경인로(유한공고)",36086
2019,"시계","신정로(작동터널)",45803
2019,"시계","김포대로(개화교)",50140
2019,"시계","올림픽대로(개화IC)",171330
2019,"시계","통일로(고양시계)",51847
2019,"시계","서오릉로(고양시계)",39150
2019,"시계","수색로(고양시계)",46787
2019,"시계","강변북로(난지한강공원)",251873
2019,"시계","강변북로(구리시계)",141287
2020,"시계","도봉로(도봉산역)",53015
2020,"시계","동일로(의정부IC)",80475
2020,"시계","아차산로(워커힐)",28508
2020,"시계","망우로(망우리공원)",31477
2020,"시계","경춘북로(중랑경찰서)",49302
2020,"시계","화랑로(조선왕릉)",48189
2020,"시계","북부간선도로(신내IC)",118366
2020,"시계","서하남로(서하남IC)",102900
2020,"시계","천호대로(상일IC)",86792
2020,"시계","올림픽대로(강일IC)",203850
2020,"시계","경부고속도로(양재IC)",187760
2020,"시계","송파대로(복정역)",61392
2020,"시계","밤고개로(세곡동사거리)",43828
2020,"시계","분당수서로(성남시계)",102913
2020,"시계","과천대로(남태령역)",65168
2020,"시계","양재대로(양재IC)",129683
2020,"시계","반포대로(우면산터널)",69901
2020,"시계","시흥대로(석수역)",83294
2020,"시계","금오로(광명시계)",11106
2020,"시계","오리로(광명시계)",28816
2020,"시계","개봉로(개봉교)",25238
2020,"시계","광명대교(광명시계)",28220
2020,"시계","철산교(광명시계)",43356
2020,"시계","금천교(광명시계)",58753
2020,"시계","금하로(광명시계)",31826
2020,"시계","오정로(부천시계)",23627
2020,"시계","화곡로(화곡로입구)",36721
2020,"시계","경인고속국도(신월IC)",171474
2020,"시계","경인로(유한공고)",33427
