year,sgis_si,sgis_gu,road_stts,road_len,road_area,road_rt
1997,서울시,금천구,계,168801,0,
1997,서울시,영등포구,계,376644,0,
1997,서울시,동작구,계,220625,0,
1997,서울시,관악구,계,307162,0,
1997,서울시,서초구,계,341941,0,
1997,서울시,강남구,계,419585,0,
1997,서울시,송파구,계,351405,0,
1997,서울시,강동구,계,274907,0,
1997,서울시,소계,미포장,970317,0,
1997,서울시,종로구,미포장,5957,0,
1997,서울시,중구,미포장,0,0,
1997,서울시,용산구,미포장,0,0,
1997,서울시,성동구,미포장,46630,0,
1997,서울시,광진구,미포장,23072,0,
1997,서울시,동대문구,미포장,31498,0,
1997,서울시,중랑구,미포장,66952,0,
1997,서울시,성북구,미포장,130159,0,
1997,서울시,강북구,미포장,1835,0,
1997,서울시,도봉구,미포장,2289,0,
1997,서울시,노원구,미포장,75361,0,
1997,서울시,은평구,미포장,75879,0,
1997,서울시,서대문구,미포장,34514,0,
1997,서울시,마포구,미포장,3937,0,
1997,서울시,양천구,미포장,90904,0,
1997,서울시,강서구,미포장,61409,0,
1997,서울시,구로구,미포장,85692,0,
1997,서울시,금천구,미포장,29376,0,
1997,서울시,영등포구,미포장,37538,0,
1997,서울시,동작구,미포장,53230,0,
1997,서울시,관악구,미포장,39166,0,
1997,서울시,서초구,미포장,5140,0,
1997,서울시,강남구,미포장,66089,0,
1997,서울시,송파구,미포장,1830,0,
1997,서울시,강동구,미포장,1860,0,
1997,서울시,소계,포장,6766784,0,
1997,서울시,종로구,포장,250286,0,
1997,서울시,중구,포장,101243,0,
1997,서울시,용산구,포장,272934,0,
1997,서울시,성동구,포장,344106,0,
1997,서울시,광진구,포장,292969,0,
1997,서울시,동대문구,포장,274687,0,
1997,서울시,중랑구,포장,230657,0,
1997,서울시,성북구,포장,467830,0,
1997,서울시,강북구,포장,210401,0,
1997,서울시,도봉구,포장,243864,0,
1997,서울시,노원구,포장,187346,0,
1997,서울시,은평구,포장,248751,0,
1997,서울시,서대문구,포장,257561,0,
1997,서울시,마포구,포장,385163,0,
1997,서울시,양천구,포장,299269,0,
1997,서울시,강서구,포장,294396,0,
1997,서울시,구로구,포장,178480,0,
1997,서울시,금천구,포장,139425,0,
1997,서울시,영등포구,포장,339106,0,
1997,서울시,동작구,포장,167395,0,
1997,서울시,관악구,포장,267996,0,
1997,서울시,서초구,포장,336801,0,
1997,서울시,강남구,포장,353496,0,
1997,서울시,송파구,포장,349575,0,
1997,서울시,강동구,포장,273047,0,
1998,서울시,소계,계,7801225,0,
1998,서울시,종로구,계,260333,0,
1998,서울시,중구,계,102233,0,
1998,서울시,용산구,계,274138,0,
1998,서울시,성동구,계,394661,0,
1998,서울시,광진구,계,316623,0,
1998,서울시,동대문구,계,308735,0,
1998,서울시,중랑구,계,308138,0,
1998,서울시,성북구,계,600903,0,
1998,서울시,강북구,계,214070,0,
1998,서울시,도봉구,계,247193,0,
1998,서울시,노원구,계,273599,0,
1998,서울시,은평구,계,325422,0,
1998,서울시,서대문구,계,294145,0,
1998,서울시,마포구,계,391013,0,
1998,서울시,양천구,계,391073,0,
1998,서울시,강서구,계,357357,0,
1998,서울시,구로구,계,265850,0,
1998,서울시,금천구,계,173741,0,
1998,서울시,영등포구,계,381084,0,
1998,서울시,동작구,계,221125,0,
1998,서울시,관악구,계,307777,0,
1998,서울시,서초구,계,344747,0,
1998,서울시,강남구,계,420240,0,
1998,서울시,송파구,계,351405,0,
1998,서울시,강동구,계,275620,0,
1998,서울시,소계,미포장,970177,0,
1998,서울시,종로구,미포장,5957,0,
1998,서울시,중구,미포장,0,0,
1998,서울시,용산구,미포장,0,0,
1998,서울시,성동구,미포장,46630,0,
1998,서울시,광진구,미포장,23072,0,
1998,서울시,동대문구,미포장,31498,0,
1998,서울시,중랑구,미포장,66952,0,
1998,서울시,성북구,미포장,130159,0,
1998,서울시,강북구,미포장,1835,0,
1998,서울시,도봉구,미포장,2289,0,
1998,서울시,노원구,미포장,75361,0,
1998,서울시,은평구,미포장,75879,0,
1998,서울시,서대문구,미포장,34514,0,
1998,서울시,마포구,미포장,3937,0,
1998,서울시,양천구,미포장,90904,0,
1998,서울시,강서구,미포장,61409,0,
1998,서울시,구로구,미포장,85692,0,
1998,서울시,금천구,미포장,29376,0,
1998,서울시,영등포구,미포장,37538,0,
1998,서울시,동작구,미포장,53230,0,
1998,서울시,관악구,미포장,39166,0,
1998,서울시,서초구,미포장,5140,0,
1998,서울시,강남구,미포장,66089,0,
1998,서울시,송파구,미포장,1690,0,
1998,서울시,강동구,미포장,1860,0,
1998,서울시,소계,포장,6831048,0,
1998,서울시,종로구,포장,254376,0,
1998,서울시,중구,포장,102233,0,
1998,서울시,용산구,포장,274138,0,
1998,서울시,성동구,포장,348031,0,
1998,서울시,광진구,포장,293551,0,
1998,서울시,동대문구,포장,277237,0,
1998,서울시,중랑구,포장,241186,0,
1998,서울시,성북구,포장,470744,0,
1998,서울시,강북구,포장,212235,0,
1998,서울시,도봉구,포장,244904,0,
1998,서울시,노원구,포장,198238,0,
1998,서울시,은평구,포장,249543,0,
1998,서울시,서대문구,포장,259631,0,
1998,서울시,마포구,포장,387076,0,
1998,서울시,양천구,포장,300169,0,
1998,서울시,강서구,포장,295948,0,
1998,서울시,구로구,포장,180158,0,
1998,서울시,금천구,포장,144365,0,
1998,서울시,영등포구,포장,343546,0,
1998,서울시,동작구,포장,167895,0,
1998,서울시,관악구,포장,268611,0,
1998,서울시,서초구,포장,339607,0,
1998,서울시,강남구,포장,354151,0,
1998,서울시,송파구,포장,349715,0,
1998,서울시,강동구,포장,273760,0,
1999,서울시,소계,계,7842567,0,
1999,서울시,종로구,계,265620,0,
1999,서울시,중구,계,107957,0,
1999,서울시,용산구,계,275163,0,
1999,서울시,성동구,계,395595,0,
1999,서울시,광진구,계,316908,0,
1999,서울시,동대문구,계,313139,0,
1999,서울시,중랑구,계,308543,0,
1999,서울시,성북구,계,606487,0,
1999,서울시,강북구,계,214372,0,
1999,서울시,도봉구,계,247571,0,
1999,서울시,노원구,계,274134,0,
1999,서울시,은평구,계,325597,0,
1999,서울시,서대문구,계,297775,0,
1999,서울시,마포구,계,392837,0,
1999,서울시,양천구,계,391073,0,
1999,서울시,강서구,계,359189,0,
1999,서울시,구로구,계,268714,0,
1999,서울시,금천구,계,174638,0,
1999,서울시,영등포구,계,382744,0,
1999,서울시,동작구,계,222299,0,
1999,서울시,관악구,계,308729,0,
1999,서울시,서초구,계,345767,0,
1999,서울시,강남구,계,420240,0,
1999,서울시,송파구,계,351405,0,
1999,서울시,강동구,계,276071,0,
1999,서울시,소계,미포장,966944,0,
1999,서울시,종로구,미포장,5957,0,
1999,서울시,중구,미포장,0,0,
1999,서울시,용산구,미포장,0,0,
1999,서울시,성동구,미포장,46630,0,
1999,서울시,광진구,미포장,23072,0,
1999,서울시,동대문구,미포장,31498,0,
1999,서울시,중랑구,미포장,66952,0,
1999,서울시,성북구,미포장,130032,0,
1999,서울시,강북구,미포장,1835,0,
1999,서울시,도봉구,미포장,2289,0,
1999,서울시,노원구,미포장,72640,0,
1999,서울시,은평구,미포장,75879,0,
1999,서울시,서대문구,미포장,34514,0,
1999,서울시,마포구,미포장,3937,0,
1999,서울시,양천구,미포장,90679,0,
1999,서울시,강서구,미포장,61409,0,
1999,서울시,구로구,미포장,85692,0,
1999,서울시,금천구,미포장,29376,0,
1999,서울시,영등포구,미포장,37538,0,
1999,서울시,동작구,미포장,53230,0,
1999,서울시,관악구,미포장,39006,0,
1999,서울시,서초구,미포장,5140,0,
1999,서울시,강남구,미포장,66089,0,
1999,서울시,송파구,미포장,1690,0,
1999,서울시,강동구,미포장,1860,0,
1999,서울시,소계,포장,6875623,0,
1999,서울시,종로구,포장,259663,0,
1999,서울시,중구,포장,107957,0,
1999,서울시,용산구,포장,275163,0,
1999,서울시,성동구,포장,348965,0,
1999,서울시,광진구,포장,293836,0,
1999,서울시,동대문구,포장,281641,0,
1999,서울시,중랑구,포장,241591,0,
1999,서울시,성북구,포장,476455,0,
1999,서울시,강북구,포장,212537,0,
1999,서울시,도봉구,포장,245282,0,
1999,서울시,노원구,포장,201494,0,
1999,서울시,은평구,포장,249718,0,
1999,서울시,서대문구,포장,263261,0,
1999,서울시,마포구,포장,388900,0,
1999,서울시,양천구,포장,300394,0,
1999,서울시,강서구,포장,297780,0,
1999,서울시,구로구,포장,183022,0,
1999,서울시,금천구,포장,145262,0,
1999,서울시,영등포구,포장,345206,0,
1999,서울시,동작구,포장,169069,0,
1999,서울시,관악구,포장,269723,0,
1999,서울시,서초구,포장,340627,0,
1999,서울시,강남구,포장,354151,0,
1999,서울시,송파구,포장,349715,0,
1999,서울시,강동구,포장,274211,0,
2000,서울시,소계,계,7888764,78689143,
2000,서울시,종로구,계,269380,2620731,
2000,서울시,중구,계,109596,1827849,
2000,서울시,용산구,계,276645,3093867,
2000,서울시,성동구,계,397750,2879522,
2000,서울시,광진구,계,318724,3216381,
2000,서울시,동대문구,계,316865,2972024,
2000,서울시,중랑구,계,311914,2531626,
2000,서울시,성북구,계,607805,3669809,
2000,서울시,강북구,계,216270,1833920,
2000,서울시,도봉구,계,248440,2232536,
2000,서울시,노원구,계,280052,3447991,
2000,서울시,은평구,계,326547,2935510,
2000,서울시,서대문구,계,299464,2596509,
2000,서울시,마포구,계,395020,3473497,
2000,서울시,양천구,계,392086,3382963,
2000,서울시,강서구,계,362071,4150973,
2000,서울시,구로구,계,270676,2742837,
2000,서울시,금천구,계,177302,1904865,
2000,서울시,영등포구,계,383629,4342492,
2000,서울시,동작구,계,222427,2487051,
2000,서울시,관악구,계,311524,2635117,
2000,서울시,서초구,계,345767,4903896,
2000,서울시,강남구,계,420387,5410880,
2000,서울시,송파구,계,351535,4419256,
2000,서울시,강동구,계,276888,2977041,
2000,서울시,소계,미포장,839830,3735961,
2000,서울시,종로구,미포장,5957,24212,
2000,서울시,중구,미포장,0,0,
2000,서울시,용산구,미포장,0,0,
2000,서울시,성동구,미포장,46630,221191,
2000,서울시,광진구,미포장,23072,95523,
2000,서울시,동대문구,미포장,31498,188075,
2000,서울시,중랑구,미포장,66952,318470,
2000,서울시,성북구,미포장,130032,125012,
2000,서울시,강북구,미포장,1835,6758,
2000,서울시,도봉구,미포장,2289,20918,
2000,서울시,노원구,미포장,72640,204924,
2000,서울시,은평구,미포장,75879,361536,
2000,서울시,서대문구,미포장,34514,171392,
2000,서울시,마포구,미포장,3937,31500,
2000,서울시,양천구,미포장,29929,267700,
2000,서울시,강서구,미포장,61409,481395,
2000,서울시,구로구,미포장,85692,276808,
2000,서울시,금천구,미포장,29376,126691,
2000,서울시,영등포구,미포장,37538,272048,
2000,서울시,동작구,미포장,53230,249550,
2000,서울시,관악구,미포장,39006,239932,
2000,서울시,서초구,미포장,4570,27656,
2000,서울시,강남구,미포장,295,4040,
2000,서울시,송파구,미포장,1690,10670,
2000,서울시,강동구,미포장,1860,9960,
2000,서울시,소계,포장,7048934,74953182,
2000,서울시,종로구,포장,263423,2596519,
2000,서울시,중구,포장,109596,1827849,
2000,서울시,용산구,포장,276645,3093867,
2000,서울시,성동구,포장,351120,2658331,
2000,서울시,광진구,포장,295652,3120858,
2000,서울시,동대문구,포장,285367,2783949,
2000,서울시,중랑구,포장,244962,2213156,
2000,서울시,성북구,포장,477773,3544797,
2000,서울시,강북구,포장,214435,1827162,
2000,서울시,도봉구,포장,246151,2211618,
2000,서울시,노원구,포장,207412,3243067,
2000,서울시,은평구,포장,250668,2573974,
2000,서울시,서대문구,포장,264950,2425117,
2000,서울시,마포구,포장,391083,3441997,
2000,서울시,양천구,포장,362157,3115263,
2000,서울시,강서구,포장,300662,3669578,
2000,서울시,구로구,포장,184984,2466029,
2000,서울시,금천구,포장,147926,1778174,
2000,서울시,영등포구,포장,346091,4070444,
2000,서울시,동작구,포장,169197,2237501,
2000,서울시,관악구,포장,272518,2395185,
2000,서울시,서초구,포장,341197,4876240,
2000,서울시,강남구,포장,420092,5406840,
2000,서울시,송파구,포장,349845,4408586,
2000,서울시,강동구,포장,275028,2967081,
2001,서울시,소계,계,7935089,79359332,
2001,서울시,종로구,계,270580,2632086,
2001,서울시,중구,계,110669,1834357,
2001,서울시,용산구,계,277692,3101955,
2001,서울시,성동구,계,400776,2906955,
2001,서울시,광진구,계,321510,3259591,
2001,서울시,동대문구,계,318842,2992118,
2001,서울시,중랑구,계,312959,2541944,
2001,서울시,성북구,계,611304,3717556,
2001,서울시,강북구,계,217527,1852266,
2001,서울시,도봉구,계,250156,2257460,
2001,서울시,노원구,계,282557,3472517,
2001,서울시,은평구,계,326547,2937260,
2001,서울시,서대문구,계,300288,2602517,
2001,서울시,마포구,계,397360,3517185,
2001,서울시,양천구,계,396631,3457744,
2001,서울시,강서구,계,365899,4212019,
2001,서울시,구로구,계,273909,2787669,
2001,서울시,금천구,계,177652,1912585,
2001,서울시,영등포구,계,385559,4355892,
2001,서울시,동작구,계,224443,2508691,
2001,서울시,관악구,계,314918,2672970,
2001,서울시,서초구,계,345957,4904656,
2001,서울시,강남구,계,422189,5443381,
2001,서울시,송파구,계,351535,4419256,
2001,서울시,강동구,계,277630,3058702,
2001,서울시,소계,미포장,12159,51771,
2001,서울시,종로구,미포장,0,0,
2001,서울시,중구,미포장,0,0,
2001,서울시,용산구,미포장,0,0,
2001,서울시,성동구,미포장,0,0,
2001,서울시,광진구,미포장,0,0,
2001,서울시,동대문구,미포장,0,0,
2001,서울시,중랑구,미포장,0,0,
2001,서울시,성북구,미포장,0,0,
2001,서울시,강북구,미포장,562,2458,
2001,서울시,도봉구,미포장,0,0,
2001,서울시,노원구,미포장,230,1840,
2001,서울시,은평구,미포장,5247,22463,
2001,서울시,서대문구,미포장,0,0,
2001,서울시,마포구,미포장,0,0,
