"year","gu_nm","key1","key2","lot_ct","area_total","jiga_total","jiga_avg"
2014,"강서구","용도지역","개발제한구역",7295,16907736.2,6488364186610,383751
2014,"강동구","용도지역","개발제한구역",3964,7553540,2021527483250,267627
2014,"구로구","용도지역","개발제한구역",1176,3322033.6,809086135610,243551
2014,"강남구","용도지역","개발제한구역",2735,6802292,1560689381800,229436
2014,"중랑구","용도지역","개발제한구역",1529,4636801,685143969750,147762
2014,"서초구","용도지역","개발제한구역",6945,20380966.5,2801753393030,137469
2014,"노원구","용도지역","개발제한구역",1151,15921513.7,1269703959260,79748
2014,"양천구","용도지역","개발제한구역",160,953805.5,73821281050,77397
2014,"은평구","용도지역","개발제한구역",2613,12682145.9,697489529540,54998
2014,"도봉구","용도지역","개발제한구역",1554,9439939.6,495776573020,52519
2014,"광진구","용도지역","개발제한구역",176,2026931,101987918110,50316
2014,"성북구","용도지역","개발제한구역",307,5665387.7,281886658360,49756
2014,"서대문구","용도지역","개발제한구역",436,1694788.2,68464396690,40397
2014,"강북구","용도지역","개발제한구역",897,12002087,455095602980,37918
2014,"종로구","용도지역","개발제한구역",1488,8069352,278480560930,34511
2014,"관악구","용도지역","개발제한구역",135,7508144,239477544000,31896
2014,"금천구","용도지역","개발제한구역",278,1721080.5,48107478240,27952
2014,"서대문구","용도지역","근린상업지역",42,3799.4,41135767600,10826912
2014,"마포구","용도지역","근린상업지역",259,83597.3,889675201000,10642392
2014,"동작구","용도지역","근린상업지역",149,29610.9,181960018700,6145035
2014,"강동구","용도지역","근린상업지역",154,85958.8,476545870980,5543887
2014,"금천구","용도지역","근린상업지역",102,46293.2,241453865320,5215752
2014,"영등포구","용도지역","근린상업지역",248,44094.2,226523268100,5137258
2014,"양천구","용도지역","근린상업지역",197,61510.6,312234035100,5076101
2014,"중랑구","용도지역","근린상업지역",318,99517.4,467720868610,4699890
2014,"성동구","용도지역","근린상업지역",76,2862.1,11964436900,4180300
2014,"동대문구","용도지역","근린상업지역",301,60134.9,237279783400,3945792
2014,"송파구","용도지역","근린상업지역",4,6835,24761220000,3622710
2014,"강서구","용도지역","근린상업지역",613,77763.8,281051030400,3614163
2014,"도봉구","용도지역","근린상업지역",25,18308,58906731000,3217540
2014,"은평구","용도지역","근린상업지역",494,95236.6,294252007650,3089695
2014,"성북구","용도지역","근린상업지역",277,62918,181178459500,2879597
2014,"용산구","용도지역","보전녹지지역",49,70367,56442924200,802122
2014,"구로구","용도지역","생산녹지지역",5,676,1136300000,1680917
2014,"강서구","용도지역","생산녹지지역",137,208979.3,198700491180,950814
2014,"송파구","용도지역","생산녹지지역",243,461206.4,89345635100,193722
2014,"강남구","용도지역","생산녹지지역",99,116075,13204216100,113756
